topic_id,baseline,porterstemmer
401,0.04520136245167289,0.10411055698541759
402,0.060583178844830304,0.20679423147331863
403,0.5075373854785619,0.5075373854785619
404,0.004080854309687262,0.009737076648841355
405,0.031189797856464523,0.02639092389092389
406,0.3937300990779514,0.43962551609610434
407,0.2049215955326435,0.16781521664312588
408,0.09428896657465555,0.13602167770378476
409,0.1,0.1
410,1.0,1.0
411,0.09232970514432488,0.1775343846381666
412,0.36413385360822703,0.45429034350192804
413,0.010101010101010102,0.08333333333333333
414,0.09199280251911829,0.10541979949874687
415,0.25,0.25
417,0.3372253000175782,0.35537142472554184
418,0.13859837561741611,0.263782026110302
419,0.5084805739945334,0.5833333333333334
420,0.6216943897542843,0.617050353172872
421,0.017413998299527823,0.018931557573567133
422,0.36528367227152864,0.37623030016503206
424,0.020552056737392257,0.15405647887569035
425,0.2847815216801742,0.48215491228549373
426,0.02755211103337166,0.03446992861728693
427,0.07982614016051345,0.09740455460942925
428,0.25336107074913494,0.10812841530054644
429,0.28126786093374917,0.7986111111111112
430,0.4811325611325611,0.6202564102564103
431,0.0947311875159835,0.31724427564866625
432,0.003531948268021692,0.0016822788852686572
433,0.005198412698412699,0.005032206119162641
434,0.55,0.5434782608695652
435,0.06252079842333978,0.03947754839963145
436,0.03744550774375304,0.0896204315407874
438,0.09454928239552642,0.11505232965550223
439,0.0037277440919837924,0.014590316027476154
440,0.5822984052355868,0.5682617814773546
441,0.6079365079365079,0.6496031746031746
442,0.02486840999715128,0.022895624473549328
443,0.1088188445075541,0.10541211947233003
445,0.24444444444444446,0.24444444444444446
446,0.029155490169778902,0.024978826146836566
448,0.01759230594354984,0.009247231086586797
449,0.00950168918918919,0.007454867827208253
450,0.22565571592103092,0.24360351977412997
