measure,query_id,score_x,score_y
ndcg_1000,403,0.7756184235923638,0.7407152541425661
ndcg_10,405,0.09478836436955078,0.07336392209936005
ndcg_1000,407,0.6131471927654584,0.5205333955935466
ndcg_10,426,0.3282410109263901,0.07839826897867533
precision_at_10,426,0.4,0.1
ndcg_1000,426,0.2701962884746054,0.17668676350093626
ndcg_1000,427,1.0,0.381328792137582
ndcg_1000,436,0.4512376968469067,0.3095580221883342
ndcg_10,442,0.2588097889896128,0.06943122193677727
precision_at_10,442,0.3,0.1
