Run Name,Mean Average Precision,Mean P@10,Mean NDCG@10,Mean NDCG@1000,Mean TBG
msmuckerAND,0.098,0.133,0.161,0.273,0.819
student1,0.250,0.282,0.371,0.485,2.033
